SUM of Total Inmates in Census since 1997,,,288697,,,,,,,
DMAX number of Inmates Sentenced since 1997,,,573,,,,,,,
DAVERAGE number of Inmates in Census in 2014,,,247.8085837,,,,,,,
DVARP of Other Unsentenced Inmates since 1997,,,318.0657297,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Facility Name,Year,Census,Sentenced,Civil,Federal,Technical Parole Violators,State Readies,Other Unsentenced,Boarded Out,Boarded In
Albany County Penitentiary,2014,832,129,0,38,32,24,610,0,212
Allegany County Penitentiary,2014,128,17,1,70,0,0,40,0,3
Broome County Penitentiary,2014,486,107,0,10,9,12,348,5,11
Cattaraugus County Penitentiary,2014,130,53,0,15,3,2,56,1,2
Cayuga County Penitentiary,2014,183,37,2,42,7,3,92,0,0
Chautauqua County Penitentiary,2014,278,60,0,21,8,2,186,6,0
Chemung County Penitentiary,2014,169,74,1,0,8,2,83,0,9
Chenango County Penitentiary,2014,103,32,5,8,2,4,52,0,4
Clinton County Penitentiary,2014,219,62,0,28,12,4,114,0,3
Columbia County Penitentiary,2014,93,11,4,2,6,2,68,0,21
Cortland County Penitentiary,2014,70,13,1,0,5,1,51,6,0
Delaware County Penitentiary,2014,86,32,1,5,3,1,43,0,2
Dutchess County Penitentiary,2014,247,43,3,0,8,5,187,223,0
Erie County Correctional Facility,2014,696,276,2,3,40,1,375,0,0
Erie County Penitentiary,2014,472,70,1,32,26,4,338,0,0
Erie County Yankee Compound,2014,3,3,0,0,0,0,0,0,0
Essex County Penitentiary,2014,83,20,0,25,3,2,34,0,3
Essex County Sheriff,2014,0,0,0,0,0,0,0,0,0
Franklin County Penitentiary,2014,109,30,6,0,6,1,65,9,1
Fulton County Penitentiary,2014,101,24,2,0,5,2,69,1,12
Genesee County Penitentiary,2014,69,26,0,1,5,1,36,15,0
Greene County Penitentiary,2014,43,8,0,0,3,1,31,28,0
Hamilton County Penitentiary,2014,4,1,0,0,0,0,2,1,0
Herkimer County Penitentiary,2014,30,4,1,0,2,1,22,53,0
Jefferson County Penitentiary,2014,127,17,2,0,8,3,97,51,0
Lewis County Penitentiary,2014,31,7,2,2,0,0,20,0,1
Livingston County Penitentiary,2014,137,34,0,26,5,2,69,2,15
Madison County Penitentiary,2014,95,37,2,3,4,2,47,1,1
Monroe County Correctional Facility,2014,330,205,0,0,0,0,125,0,0
Monroe County Penitentiary,2014,1011,170,0,56,65,29,691,1,2
Montgomery County Penitentiary,2014,132,24,1,27,5,3,71,0,5
Nassau County Correctional Facility,2014,1217,189,1,39,43,12,933,8,9
Niagara County Penitentiary,2014,438,110,0,107,11,11,199,0,1
Oneida County Penitentiary,2014,483,157,0,35,26,8,257,0,51
Onondaga County Correctional Facility,2014,514,369,8,6,39,0,92,11,75
Onondaga County Penitentiary,2014,599,27,2,1,2,15,552,75,13
Ontario County Penitentiary,2014,210,76,3,2,11,5,113,2,1
Orange County Penitentiary,2014,606,128,10,116,30,7,316,2,8
Orleans County Penitentiary,2014,63,20,0,0,3,1,38,0,2
Oswego County Penitentiary,2014,141,47,3,0,13,4,75,15,0
Otsego County Penitentiary,2014,75,23,0,0,5,0,47,0,7
Putnam County Penitentiary,2014,101,14,2,6,2,1,77,3,0
Rensselaer County Penitentiary,2014,351,91,3,80,19,5,152,0,34
Rockland County Penitentiary,2014,182,47,0,0,8,2,125,1,0
Saratoga County Penitentiary,2014,194,71,3,0,9,2,109,0,0
Schenectady County Penitentiary,2014,320,78,3,2,22,5,210,3,0
Schoharie County Penitentiary,2014,0,0,0,0,0,0,0,29,0
Schuyler County Penitentiary,2014,16,7,0,0,2,0,7,2,0
Seneca County Penitentiary,2014,81,27,1,13,3,1,36,0,0
Steuben County Penitentiary,2014,180,35,1,36,7,3,98,0,2
St Lawrence County Penitentiary,2014,154,51,0,0,6,3,94,2,4
Suffolk Correctional Facility - Riverhead,2014,728,210,21,2,27,11,459,10,7
Suffolk Correctional Facility - Yaphank,2014,682,173,8,0,37,11,454,0,1
Sullivan County Penitentiary,2014,157,31,0,0,12,3,111,6,0
Tioga County Penitentiary,2014,79,27,1,12,3,1,36,1,7
Tompkins County Penitentiary,2014,81,32,0,0,3,2,43,6,0
Ulster County Penitentiary,2014,362,96,0,0,20,9,236,0,59
Warren County Penitentiary,2014,130,30,1,11,6,3,79,1,3
Washington County Penitentiary,2014,106,25,1,6,7,2,64,0,1
Wayne County Penitentiary,2014,114,53,0,0,5,0,55,8,7
Westchester Annex,2014,93,31,0,5,2,0,54,1,0
Westchester Penitentiary,2014,744,162,0,86,42,8,445,2,9
Westchester Pen,2014,375,162,0,1,8,1,203,0,0
Wyoming County Penitentiary,2014,68,27,0,0,2,1,38,0,3
Yates County Penitentiary,2014,47,11,0,8,2,1,23,1,0
Albany County Penitentiary,2013,774,125,0,44,41,27,537,0,145
Allegany County Penitentiary,2013,132,22,1,68,0,0,42,0,1
Broome County Penitentiary,2013,505,101,0,8,10,11,374,14,2
Cattaraugus County Penitentiary,2013,120,44,0,19,6,1,50,0,0
Cayuga County Penitentiary,2013,191,55,6,30,7,3,90,0,0
Chautauqua County Penitentiary,2013,279,62,0,19,11,2,184,0,0
Chemung County Penitentiary,2013,204,81,1,0,12,2,108,0,18
Chenango County Penitentiary,2013,116,40,2,19,3,6,46,0,12
Clinton County Penitentiary,2013,222,69,0,30,12,4,107,0,1
Columbia County Penitentiary,2013,106,12,2,2,7,1,82,0,31
Cortland County Penitentiary,2013,65,15,1,0,4,2,42,8,0
Delaware County Penitentiary,2013,83,25,1,8,3,1,45,0,12
Dutchess County Penitentiary,2013,250,43,4,0,11,5,186,194,0
Erie County Correctional Facility,2013,746,290,3,3,51,0,399,0,0
Erie County Penitentiary,2013,508,83,1,45,21,3,355,0,0
Erie County Yankee Compound,2013,30,30,0,0,0,0,0,0,0
Essex County Penitentiary,2013,83,15,0,28,3,1,36,0,5
Essex County Sheriff,2013,0,0,0,0,0,0,0,0,0
Franklin County Penitentiary,2013,110,35,0,0,3,0,71,8,2
Fulton County Penitentiary,2013,108,25,3,0,5,2,74,0,17
Genesee County Penitentiary,2013,70,29,0,1,2,1,37,18,1
Greene County Penitentiary,2013,46,10,0,0,3,1,32,39,0
Hamilton County Penitentiary,2013,4,1,0,0,0,0,3,1,0
Herkimer County Penitentiary,2013,29,3,0,0,2,1,23,54,0
Jefferson County Penitentiary,2013,135,25,2,0,5,3,100,45,0
Lewis County Penitentiary,2013,34,7,2,2,0,1,22,0,3
Livingston County Penitentiary,2013,126,38,0,20,5,2,62,1,11
Madison County Penitentiary,2013,89,42,4,5,3,1,34,1,1
Monroe County Correctional Facility,2013,323,209,0,0,0,0,114,0,0
Monroe County Penitentiary,2013,989,166,0,47,66,26,683,1,1
Montgomery County Penitentiary,2013,136,26,1,15,5,2,86,0,10
Nassau County Correctional Facility,2013,1296,178,1,61,41,12,1004,7,10
Niagara County Penitentiary,2013,460,106,0,107,14,12,221,0,1
Oneida County Penitentiary,2013,476,155,0,48,28,7,238,0,41
Onondaga County Correctional Facility,2013,508,358,5,29,41,0,74,27,59
Onondaga County Penitentiary,2013,614,25,4,3,3,13,566,60,32
Ontario County Penitentiary,2013,216,79,3,0,11,4,118,2,0
Orange County Penitentiary,2013,590,128,9,122,39,9,283,2,11
Orleans County Penitentiary,2013,65,21,0,0,4,1,39,1,5
Oswego County Penitentiary,2013,153,53,3,0,9,4,84,12,0
Otsego County Penitentiary,2013,76,27,0,0,4,1,45,0,6
Putnam County Penitentiary,2013,111,17,1,3,2,1,87,3,6
Rensselaer County Penitentiary,2013,373,79,4,79,16,5,191,1,76
Rockland County Penitentiary,2013,227,46,0,0,13,3,164,0,0
Saratoga County Penitentiary,2013,187,80,4,0,8,2,93,0,0
Schenectady County Penitentiary,2013,322,71,2,9,28,6,207,4,0
Schoharie County Penitentiary,2013,0,0,0,0,0,0,0,31,0
Schuyler County Penitentiary,2013,22,11,0,0,1,0,9,4,0
Seneca County Penitentiary,2013,83,22,2,15,2,1,41,1,2
Steuben County Penitentiary,2013,191,36,0,28,10,3,114,1,1
St Lawrence County Penitentiary,2013,159,44,0,0,7,2,106,6,2
Suffolk Correctional Facility - Riverhead,2013,868,237,8,1,35,16,570,21,7
Suffolk Correctional Facility - Yaphank,2013,662,192,8,0,37,6,419,0,0
Sullivan County Penitentiary,2013,170,34,0,0,12,2,122,21,0
Tioga County Penitentiary,2013,86,26,0,15,3,1,41,2,2
Tompkins County Penitentiary,2013,83,30,0,0,4,2,46,8,0
Ulster County Penitentiary,2013,340,95,0,1,25,10,210,2,52
Warren County Penitentiary,2013,130,29,1,8,11,3,79,0,2
Washington County Penitentiary,2013,123,30,1,9,13,3,66,1,3
Wayne County Penitentiary,2013,114,51,0,2,4,1,56,5,10
Westchester Annex,2013,110,42,0,7,2,0,58,0,2
Westchester Penitentiary,2013,761,149,0,114,44,9,443,3,10
Westchester Pen,2013,460,199,0,21,17,2,221,0,0
Wyoming County Penitentiary,2013,62,22,0,0,3,1,36,0,5
Yates County Penitentiary,2013,49,10,0,9,3,1,25,0,0
Albany County Penitentiary,2012,689,136,0,33,42,24,455,0,68
Allegany County Penitentiary,2012,136,25,1,66,0,0,44,0,2
Broome County Penitentiary,2012,493,117,0,14,12,10,340,10,1
Cattaraugus County Penitentiary,2012,118,39,0,10,6,2,62,0,0
Cayuga County Penitentiary,2012,190,51,2,35,7,3,92,0,0
Chautauqua County Penitentiary,2012,287,58,0,46,10,2,171,0,0
Chemung County Penitentiary,2012,196,82,0,0,11,2,101,2,9
Chenango County Penitentiary,2012,92,32,2,11,2,2,43,0,9
Clinton County Penitentiary,2012,210,72,0,31,13,3,91,0,1
Columbia County Penitentiary,2012,103,11,2,3,6,1,80,1,14
Cortland County Penitentiary,2012,62,10,1,0,4,1,45,7,0
Delaware County Penitentiary,2012,68,23,1,4,2,1,36,0,4
Dutchess County Penitentiary,2012,246,51,6,0,13,4,171,200,0
Erie County Correctional Facility,2012,747,274,2,4,47,0,420,0,0
Erie County Penitentiary,2012,518,82,2,38,33,6,357,0,0
Erie County Yankee Compound,2012,61,61,0,0,0,0,0,0,0
Essex County Penitentiary,2012,81,17,0,22,3,1,38,0,15
Essex County Sheriff,2012,0,0,0,0,0,0,0,0,0
Franklin County Penitentiary,2012,105,33,1,0,6,0,66,11,2
Fulton County Penitentiary,2012,103,22,4,0,3,1,73,0,21
Genesee County Penitentiary,2012,78,26,1,0,5,2,43,15,1
Greene County Penitentiary,2012,52,12,1,0,3,1,34,19,0
Hamilton County Penitentiary,2012,3,1,0,0,0,0,2,0,0
Herkimer County Penitentiary,2012,26,4,0,0,1,0,21,44,0
Jefferson County Penitentiary,2012,133,22,1,0,5,2,103,24,0
Lewis County Penitentiary,2012,30,8,1,4,0,1,16,0,2
Livingston County Penitentiary,2012,114,31,0,9,6,2,66,0,10
Madison County Penitentiary,2012,98,39,4,7,4,1,43,0,2
Monroe County Correctional Facility,2012,372,263,1,0,1,0,108,0,0
Monroe County Penitentiary,2012,969,161,1,50,65,26,666,1,0
Montgomery County Penitentiary,2012,139,32,2,21,5,2,77,0,8
Nassau County Correctional Facility,2012,1490,209,0,102,24,10,1146,11,86
Niagara County Penitentiary,2012,451,106,0,107,14,11,213,0,0
Oneida County Penitentiary,2012,471,148,0,37,25,8,253,0,47
Onondaga County Correctional Facility,2012,497,350,6,75,46,0,20,13,6
Onondaga County Penitentiary,2012,622,24,3,2,2,12,579,6,21
Ontario County Penitentiary,2012,198,78,1,2,8,4,105,0,0
Orange County Penitentiary,2012,594,121,5,138,38,8,284,3,7
Orleans County Penitentiary,2012,78,27,0,0,4,1,45,2,5
Oswego County Penitentiary,2012,158,50,3,0,10,4,91,30,0
Otsego County Penitentiary,2012,79,25,0,0,3,1,50,0,1
Putnam County Penitentiary,2012,107,15,1,2,2,1,87,6,12
Rensselaer County Penitentiary,2012,425,90,9,80,26,5,215,1,116
Rockland County Penitentiary,2012,238,46,0,1,9,3,179,2,0
Saratoga County Penitentiary,2012,156,57,3,0,8,2,86,0,0
Schenectady County Penitentiary,2012,311,54,3,2,32,4,216,3,0
Schoharie County Penitentiary,2012,0,0,0,0,0,0,0,26,0
Schuyler County Penitentiary,2012,18,8,0,0,1,0,9,5,1
Seneca County Penitentiary,2012,79,22,1,13,3,1,40,1,3
Steuben County Penitentiary,2012,190,39,1,40,9,2,99,1,1
St Lawrence County Penitentiary,2012,156,46,0,0,6,2,102,2,3
Suffolk Correctional Facility - Riverhead,2012,975,245,7,4,38,17,664,102,7
Suffolk Correctional Facility - Yaphank,2012,592,188,6,0,37,0,360,0,0
Sullivan County Penitentiary,2012,154,36,0,0,10,3,106,1,0
Tioga County Penitentiary,2012,85,29,1,19,4,1,31,1,6
Tompkins County Penitentiary,2012,83,28,0,0,4,2,48,7,0
Ulster County Penitentiary,2012,350,99,0,2,22,11,216,1,27
Warren County Penitentiary,2012,148,41,3,0,10,3,90,0,15
Washington County Penitentiary,2012,109,22,2,5,8,2,70,0,15
Wayne County Penitentiary,2012,115,41,0,10,5,3,56,8,14
Westchester Annex,2012,119,45,0,11,1,1,62,0,2
Westchester Penitentiary,2012,778,155,0,144,38,8,434,3,11
Westchester Pen,2012,567,220,0,46,21,4,275,0,0
Wyoming County Penitentiary,2012,64,22,0,0,3,1,37,2,3
Yates County Penitentiary,2012,49,11,0,9,3,1,24,0,0
Albany County Penitentiary,2011,622,129,0,60,37,25,372,0,9
Allegany County Penitentiary,2011,132,23,1,66,0,0,41,0,3
Broome County Penitentiary,2011,464,91,0,25,13,10,326,3,8
Cattaraugus County Penitentiary,2011,127,45,0,14,4,2,62,0,0
Cayuga County Penitentiary,2011,192,57,2,48,7,2,76,0,0
Chautauqua County Penitentiary,2011,272,55,0,53,12,1,150,0,0
Chemung County Penitentiary,2011,162,74,0,1,14,2,72,1,0
Chenango County Penitentiary,2011,104,30,1,20,2,1,50,0,6
Clinton County Penitentiary,2011,207,69,0,40,10,3,86,0,1
Columbia County Penitentiary,2011,105,11,1,4,4,1,85,0,15
Cortland County Penitentiary,2011,61,14,1,0,4,1,39,3,0
Delaware County Penitentiary,2011,63,24,2,0,3,1,33,0,5
Dutchess County Penitentiary,2011,253,54,6,0,12,4,177,158,0
Erie County Correctional Facility,2011,749,284,0,0,46,0,420,0,0
Erie County Penitentiary,2011,483,93,2,22,44,13,309,0,0
Erie County Yankee Compound,2011,65,65,0,0,0,0,0,0,0
Essex County Penitentiary,2011,78,16,0,33,2,1,27,0,5
Essex County Sheriff,2011,0,0,0,0,0,0,0,0,0
Franklin County Penitentiary,2011,112,32,1,0,4,0,75,5,0
Fulton County Penitentiary,2011,99,33,2,0,7,1,56,0,15
Genesee County Penitentiary,2011,71,21,2,2,5,1,39,10,2
Greene County Penitentiary,2011,51,12,1,0,3,2,34,27,0
Hamilton County Penitentiary,2011,3,2,0,0,0,0,1,0,0
Herkimer County Penitentiary,2011,29,5,1,0,1,1,21,28,0
Jefferson County Penitentiary,2011,141,29,1,0,6,2,103,30,0
Lewis County Penitentiary,2011,32,4,1,7,0,1,19,0,3
Livingston County Penitentiary,2011,90,31,0,0,6,2,51,13,8
Madison County Penitentiary,2011,90,38,5,9,2,1,36,0,1
Monroe County Correctional Facility,2011,359,255,0,0,6,0,97,0,9
Monroe County Penitentiary,2011,999,196,1,77,64,22,639,6,4
Montgomery County Penitentiary,2011,138,32,3,9,3,3,87,1,14
Nassau County Correctional Facility,2011,1546,240,1,123,17,13,1152,11,88
Niagara County Penitentiary,2011,438,114,1,87,21,16,199,0,1
Oneida County Penitentiary,2011,435,172,0,28,14,7,213,0,28
Onondaga County Correctional Facility,2011,465,322,6,84,43,0,11,23,1
Onondaga County Penitentiary,2011,642,28,2,5,3,14,589,1,35
Ontario County Penitentiary,2011,196,83,0,2,10,6,96,0,0
Orange County Penitentiary,2011,578,129,7,122,34,9,276,1,5
Orleans County Penitentiary,2011,78,28,0,0,5,0,44,1,3
Oswego County Penitentiary,2011,157,58,2,0,7,4,85,10,0
Otsego County Penitentiary,2011,68,23,0,0,2,1,42,1,0
Putnam County Penitentiary,2011,116,15,2,8,2,1,87,2,4
Rensselaer County Penitentiary,2011,377,87,7,61,18,4,200,0,112
Rockland County Penitentiary,2011,245,48,0,1,9,2,184,2,0
Saratoga County Penitentiary,2011,150,50,3,0,7,2,88,0,0
Schenectady County Penitentiary,2011,317,52,3,3,27,6,226,2,0
Schoharie County Penitentiary,2011,27,9,1,3,0,1,13,8,7
Schuyler County Penitentiary,2011,19,10,0,0,1,0,8,2,0
Seneca County Penitentiary,2011,78,23,1,22,2,1,30,0,1
Steuben County Penitentiary,2011,178,38,1,48,7,2,82,1,2
St Lawrence County Penitentiary,2011,139,34,0,0,5,2,98,0,4
Suffolk Correctional Facility - Riverhead,2011,1005,235,7,3,41,32,688,157,9
Suffolk Correctional Facility - Yaphank,2011,597,184,4,0,38,0,371,0,0
Sullivan County Penitentiary,2011,158,40,0,0,10,2,106,3,0
Tioga County Penitentiary,2011,85,31,1,14,5,1,34,0,3
Tompkins County Penitentiary,2011,82,33,0,0,3,2,44,4,0
Ulster County Penitentiary,2011,329,100,0,3,20,8,197,0,28
Warren County Penitentiary,2011,152,42,2,0,10,3,95,1,14
Washington County Penitentiary,2011,95,30,2,4,8,3,49,0,10
Wayne County Penitentiary,2011,128,50,0,18,10,2,49,6,2
Westchester Annex,2011,32,10,0,3,0,0,18,0,0
Westchester Penitentiary,2011,870,193,0,154,37,9,477,6,6
Westchester Pen,2011,563,213,0,48,19,5,278,0,0
Wyoming County Penitentiary,2011,67,27,0,0,3,1,37,4,4
Yates County Penitentiary,2011,53,15,0,10,2,1,25,0,0
Albany County Penitentiary,2010,721,148,0,102,35,20,417,0,23
Allegany County Penitentiary,2010,141,22,1,66,0,0,52,0,3
Broome County Penitentiary,2010,455,100,0,25,14,8,306,0,9
Cattaraugus County Penitentiary,2010,110,36,0,16,5,2,51,0,0
Cayuga County Penitentiary,2010,184,51,3,51,5,3,71,0,0
Chautauqua County Penitentiary,2010,281,56,0,59,11,2,153,0,0
Chemung County Penitentiary,2010,181,80,0,0,15,2,84,0,0
Chenango County Penitentiary,2010,99,38,1,8,1,1,51,0,10
Clinton County Penitentiary,2010,209,73,1,45,7,2,81,0,6
Columbia County Penitentiary,2010,107,22,1,10,2,1,71,0,10
Cortland County Penitentiary,2010,64,19,2,0,4,1,38,5,0
Delaware County Penitentiary,2010,71,28,2,1,5,1,33,0,5
Dutchess County Penitentiary,2010,266,50,5,1,13,3,195,115,2
Erie County Correctional Facility,2010,775,407,0,0,31,0,337,0,0
Erie County Penitentiary,2010,480,92,1,8,46,10,322,0,0
Erie County Yankee Compound,2010,80,80,0,0,0,0,0,0,0
Essex County Penitentiary,2010,75,14,0,36,1,0,23,0,4
Essex County Sheriff,2010,0,0,0,0,0,0,0,0,0
Franklin County Penitentiary,2010,107,29,3,0,4,0,71,7,0
Fulton County Penitentiary,2010,84,23,2,0,4,1,54,1,9
Genesee County Penitentiary,2010,66,24,1,1,8,1,30,11,0
Greene County Penitentiary,2010,51,14,2,0,4,1,30,26,0
Hamilton County Penitentiary,2010,2,1,0,0,0,0,1,0,0
Herkimer County Penitentiary,2010,29,6,0,0,1,1,21,26,0
Jefferson County Penitentiary,2010,142,25,1,0,6,2,107,27,0
Lewis County Penitentiary,2010,32,6,1,5,0,0,20,0,5
Livingston County Penitentiary,2010,91,29,0,0,6,2,54,13,3
Madison County Penitentiary,2010,88,40,5,4,2,1,38,1,4
Monroe County Correctional Facility,2010,353,270,0,1,1,1,80,0,8
Monroe County Penitentiary,2010,1058,207,1,92,84,23,651,3,3
Montgomery County Penitentiary,2010,121,33,2,7,5,2,72,0,6
Nassau County Correctional Facility,2010,1609,237,1,128,21,10,1213,6,8
Niagara County Penitentiary,2010,469,136,0,82,15,13,223,0,1
Oneida County Penitentiary,2010,437,159,0,33,8,5,231,0,26
Onondaga County Correctional Facility,2010,469,321,7,77,54,0,11,27,1
Onondaga County Penitentiary,2010,621,28,3,5,2,13,571,1,41
Ontario County Penitentiary,2010,197,83,0,3,7,5,100,1,1
Orange County Penitentiary,2010,609,144,7,116,38,8,297,4,7
Orleans County Penitentiary,2010,76,27,0,0,5,0,43,0,3
Oswego County Penitentiary,2010,135,60,1,0,6,4,64,2,0
Otsego County Penitentiary,2010,68,26,0,0,2,1,39,1,0
Putnam County Penitentiary,2010,103,17,1,4,1,1,77,3,4
Rensselaer County Penitentiary,2010,229,89,6,13,17,3,100,1,12
Rockland County Penitentiary,2010,213,52,0,2,10,2,147,0,1
Saratoga County Penitentiary,2010,164,47,2,0,5,1,108,0,0
Schenectady County Penitentiary,2010,284,48,5,0,23,5,202,2,0
Schoharie County Penitentiary,2010,50,14,2,8,1,1,23,5,23
Schuyler County Penitentiary,2010,19,8,0,0,1,0,11,2,0
Seneca County Penitentiary,2010,83,28,2,19,2,0,31,0,1
Steuben County Penitentiary,2010,169,41,0,45,7,1,73,0,2
St Lawrence County Penitentiary,2010,133,38,0,0,6,2,87,0,8
Suffolk Correctional Facility - Riverhead,2010,1029,239,7,2,45,23,713,77,8
Suffolk Correctional Facility - Yaphank,2010,606,185,4,0,39,0,378,0,0
Sullivan County Penitentiary,2010,162,37,0,0,10,2,114,9,0
Tioga County Penitentiary,2010,84,34,1,18,4,1,26,1,6
Tompkins County Penitentiary,2010,79,34,0,0,3,2,41,3,0
Ulster County Penitentiary,2010,332,102,0,9,16,6,199,0,31
Warren County Penitentiary,2010,154,36,3,0,6,2,107,0,26
Washington County Penitentiary,2010,119,29,3,7,9,2,68,0,16
Wayne County Penitentiary,2010,132,48,0,16,7,2,58,5,7
Westchester Annex,2010,2,1,0,0,0,0,1,0,0
Westchester Penitentiary,2010,801,136,0,176,32,8,449,5,4
Westchester Pen,2010,581,211,0,0,26,4,340,0,0
Wyoming County Penitentiary,2010,59,19,0,0,2,1,37,0,4
Yates County Penitentiary,2010,48,13,0,11,3,1,20,1,0
Albany County Penitentiary,2009,647,138,0,81,37,19,371,0,2
Allegany County Penitentiary,2009,130,17,1,63,0,0,49,0,1
Broome County Penitentiary,2009,427,83,0,22,14,7,301,0,1
Cattaraugus County Penitentiary,2009,114,36,0,20,5,2,51,0,0
Cayuga County Penitentiary,2009,182,43,0,46,3,2,87,0,1
Chautauqua County Penitentiary,2009,273,49,0,60,11,2,150,0,0
Chemung County Penitentiary,2009,190,83,0,0,15,3,88,1,0
Chenango County Penitentiary,2009,67,29,2,0,2,0,33,0,3
Clinton County Penitentiary,2009,187,63,1,26,5,3,89,1,13
Columbia County Penitentiary,2009,99,13,1,3,6,1,74,0,13
Cortland County Penitentiary,2009,58,16,2,0,3,1,35,2,0
Delaware County Penitentiary,2009,65,27,2,4,5,0,27,0,3
Dutchess County Penitentiary,2009,262,49,8,0,11,3,192,77,1
Erie County Correctional Facility,2009,836,478,0,0,40,0,318,0,0
Erie County Penitentiary,2009,462,64,2,6,27,13,350,0,0
Erie County Yankee Compound,2009,77,77,0,0,0,0,0,0,0
Essex County Penitentiary,2009,65,14,0,31,1,0,20,0,6
Essex County Sheriff,2009,0,0,0,0,0,0,0,0,0
Franklin County Penitentiary,2009,104,37,1,0,5,1,60,2,1
Fulton County Penitentiary,2009,95,26,7,0,4,1,57,1,10
Genesee County Penitentiary,2009,73,26,2,0,7,2,37,11,0
Greene County Penitentiary,2009,48,14,1,0,5,1,27,19,0
Hamilton County Penitentiary,2009,1,1,0,0,0,0,1,0,0
Herkimer County Penitentiary,2009,29,6,0,0,1,1,21,25,0
Jefferson County Penitentiary,2009,140,32,2,1,6,2,96,8,0
Lewis County Penitentiary,2009,32,6,0,5,0,1,20,0,0
Livingston County Penitentiary,2009,80,29,0,0,4,2,45,16,2
Madison County Penitentiary,2009,83,39,5,5,2,0,32,6,3
Monroe County Correctional Facility,2009,343,267,0,1,1,1,73,0,12
Monroe County Penitentiary,2009,1023,184,1,72,70,29,667,1,5
Montgomery County Penitentiary,2009,107,27,2,8,4,2,65,0,4
Nassau County Correctional Facility,2009,1547,254,1,127,17,9,1139,5,7
Niagara County Penitentiary,2009,470,135,0,90,22,16,207,0,2
Oneida County Penitentiary,2009,461,170,0,25,10,8,246,0,25
Onondaga County Correctional Facility,2009,402,289,6,57,47,0,4,19,0
Onondaga County Penitentiary,2009,580,19,3,3,2,11,543,1,28
Ontario County Penitentiary,2009,213,84,0,2,10,6,112,0,2
Orange County Penitentiary,2009,568,119,15,117,36,8,273,2,5
Orleans County Penitentiary,2009,75,28,0,0,4,0,42,1,1
Oswego County Penitentiary,2009,115,45,0,0,6,4,60,4,1
Otsego County Penitentiary,2009,70,27,0,0,2,1,40,1,0
Putnam County Penitentiary,2009,107,18,2,11,1,1,74,2,1
Rensselaer County Penitentiary,2009,212,81,10,3,18,3,98,2,0
Rockland County Penitentiary,2009,219,51,0,2,13,2,152,1,2
Saratoga County Penitentiary,2009,165,56,3,0,10,1,95,0,0
Schenectady County Penitentiary,2009,284,50,3,5,26,5,196,1,0
Schoharie County Penitentiary,2009,39,9,0,10,2,0,17,3,8
Schuyler County Penitentiary,2009,16,8,0,0,1,0,6,2,1
Seneca County Penitentiary,2009,72,22,1,10,2,0,37,0,2
Steuben County Penitentiary,2009,180,42,1,45,9,2,82,1,3
St Lawrence County Penitentiary,2009,102,32,0,0,11,1,58,12,0
Suffolk Correctional Facility - Riverhead,2009,1017,251,9,1,37,27,693,36,7
Suffolk Correctional Facility - Yaphank,2009,590,209,5,0,36,0,340,0,0
Sullivan County Penitentiary,2009,160,44,0,0,11,2,103,2,0
Tioga County Penitentiary,2009,80,30,2,15,3,1,29,0,5
Tompkins County Penitentiary,2009,73,28,0,0,2,1,41,7,0
Ulster County Penitentiary,2009,297,92,0,16,23,5,162,0,51
Warren County Penitentiary,2009,147,32,5,0,6,2,101,0,20
