SUM of Total Inmates in Census since 1997,,,288697,,,,,,,
Westchester Annex,2003,121,39,0,6,2,1,73,0,1
Westchester Penitentiary,2003,826,99,0,92,35,19,582,18,9
Westchester Pen,2003,430,203,0,0,14,0,212,0,0
Wyoming County Penitentiary,2003,52,14,0,0,1,0,36,0,6
Yates County Penitentiary,2003,50,15,0,12,1,1,19,0,0
Albany County Penitentiary,2002,892,211,0,54,45,11,571,2,54
Allegany County Penitentiary,2002,39,10,2,0,2,1,24,10,0
Broome County Penitentiary,2002,397,98,0,15,19,15,251,1,5
Cattaraugus County Penitentiary,2002,127,51,0,0,6,4,66,0,12
Cayuga County Penitentiary,2002,154,55,0,17,8,6,68,1,8
Chautauqua County Penitentiary,2002,243,55,0,19,16,7,146,0,0
Chemung County Penitentiary,2002,188,68,0,0,20,5,95,4,1
Chenango County Penitentiary,2002,55,29,2,0,2,3,20,9,0
Clinton County Penitentiary,2002,109,53,0,5,5,1,45,0,8
Columbia County Penitentiary,2002,120,27,1,3,7,2,79,0,26
Cortland County Penitentiary,2002,50,22,3,0,2,3,20,4,0
Delaware County Penitentiary,2002,24,9,1,0,2,0,12,15,0
Dutchess County Penitentiary,2002,298,65,3,1,27,4,199,34,1
Erie County Correctional Facility,2002,911,573,4,0,107,1,225,0,0
Erie County Penitentiary,2002,568,43,2,60,42,21,400,0,0
Erie County Yankee Compound,2002,0,0,0,0,0,0,0,0,0
Essex County Penitentiary,2002,19,7,0,0,1,1,10,16,0
Essex County Sheriff,2002,0,0,0,0,0,0,0,0,0
Franklin County Penitentiary,2002,94,32,0,10,4,1,47,0,12
Fulton County Penitentiary,2002,94,30,3,0,5,2,54,0,17
Genesee County Penitentiary,2002,78,21,0,2,7,9,40,5,0
Greene County Penitentiary,2002,46,20,0,0,1,2,22,13,1
Hamilton County Penitentiary,2002,4,2,0,0,0,0,2,0,0
Herkimer County Penitentiary,2002,47,12,1,0,3,2,29,2,0
Jefferson County Penitentiary,2002,132,46,4,2,4,6,70,1,0
Lewis County Penitentiary,2002,24,8,0,4,1,0,11,0,0
Livingston County Penitentiary,2002,72,32,0,0,4,2,34,6,4
Madison County Penitentiary,2002,97,40,2,19,4,1,30,8,8
Monroe County Correctional Facility,2002,419,349,1,1,14,1,53,0,3
Monroe County Penitentiary,2002,816,166,0,40,93,18,499,0,0
Montgomery County Penitentiary,2002,129,18,3,25,9,4,70,1,16
Nassau County Correctional Facility,2002,1687,277,2,229,50,15,1114,0,11
Niagara County Penitentiary,2002,417,55,0,46,28,15,272,0,0
Oneida County Penitentiary,2002,411,157,0,21,26,11,196,1,19
Onondaga County Correctional Facility,2002,360,319,11,17,0,1,12,20,27
Onondaga County Penitentiary,2002,526,14,1,61,67,7,375,1,0
Ontario County Penitentiary,2002,169,82,0,0,9,7,71,4,0
Orange County Penitentiary,2002,498,166,11,0,54,22,245,0,10
Orleans County Penitentiary,2002,80,30,0,0,4,5,41,1,9
Oswego County Penitentiary,2002,116,32,0,0,5,4,75,0,0
Otsego County Penitentiary,2002,67,19,0,0,2,1,44,0,14
Putnam County Penitentiary,2002,107,26,0,21,2,1,57,0,37
Rensselaer County Penitentiary,2002,250,85,5,0,31,6,123,27,2
Rockland County Penitentiary,2002,240,72,0,0,12,6,149,4,1
Saratoga County Penitentiary,2002,175,77,9,0,10,3,77,0,5
Schenectady County Penitentiary,2002,333,63,1,14,25,19,210,1,19
Schoharie County Penitentiary,2002,55,13,1,13,2,1,26,1,6
Schuyler County Penitentiary,2002,14,5,0,0,1,1,7,2,1
Seneca County Penitentiary,2002,37,16,0,0,2,2,18,9,1
Steuben County Penitentiary,2002,136,35,0,8,9,4,80,0,6
St Lawrence County Penitentiary,2002,84,31,0,0,5,2,46,9,0
Suffolk Correctional Facility - Riverhead,2002,938,345,10,0,101,27,455,0,0
Suffolk Correctional Facility - Yaphank,2002,544,263,6,0,0,0,276,0,0
Sullivan County Penitentiary,2002,163,50,0,0,9,4,99,0,0
Tioga County Penitentiary,2002,84,36,2,7,7,2,30,0,18
Tompkins County Penitentiary,2002,78,30,0,0,8,6,34,0,0
Ulster County Penitentiary,2002,232,98,0,0,19,5,110,15,0
Warren County Penitentiary,2002,65,22,2,0,4,2,34,34,0
Washington County Penitentiary,2002,49,15,1,0,4,1,28,10,0
Wayne County Penitentiary,2002,129,45,0,0,7,4,72,7,3
Westchester Annex,2002,131,45,0,8,3,1,74,0,0
Westchester Penitentiary,2002,817,118,0,80,51,22,546,28,6
Westchester Pen,2002,390,205,0,0,13,1,172,0,0
Wyoming County Penitentiary,2002,60,25,0,0,1,1,33,0,2
Yates County Penitentiary,2002,48,15,0,13,0,2,17,0,2
Albany County Penitentiary,2001,750,185,0,57,46,5,457,2,7
Allegany County Penitentiary,2001,31,9,2,0,2,1,18,10,0
Broome County Penitentiary,2001,390,111,0,16,23,9,231,1,1
Cattaraugus County Penitentiary,2001,107,51,0,0,5,2,50,0,3
Cayuga County Penitentiary,2001,104,47,0,0,5,3,49,1,2
Chautauqua County Penitentiary,2001,229,49,0,15,16,2,147,0,0
Chemung County Penitentiary,2001,157,64,0,0,12,2,79,2,0
Chenango County Penitentiary,2001,56,35,1,0,1,2,18,2,0
Clinton County Penitentiary,2001,111,51,0,3,5,2,49,0,6
Columbia County Penitentiary,2001,106,21,2,5,6,1,71,0,22
Cortland County Penitentiary,2001,47,17,5,0,2,2,22,2,0
Delaware County Penitentiary,2001,23,7,0,0,2,0,13,10,0
Dutchess County Penitentiary,2001,288,65,3,0,25,2,193,20,0
Erie County Correctional Facility,2001,803,533,4,0,103,1,163,0,0
Erie County Penitentiary,2001,557,33,2,57,41,13,411,0,0
Erie County Yankee Compound,2001,0,0,0,0,0,0,0,0,0
Essex County Penitentiary,2001,20,10,0,0,1,1,8,15,0
Essex County Sheriff,2001,0,0,0,0,0,0,0,0,0
Franklin County Penitentiary,2001,81,28,0,15,2,1,36,0,11
Fulton County Penitentiary,2001,93,32,4,0,7,2,48,0,12
Genesee County Penitentiary,2001,73,31,0,1,4,2,36,6,0
Greene County Penitentiary,2001,48,20,0,0,1,1,25,7,0
Hamilton County Penitentiary,2001,4,2,0,0,0,0,1,0,0
Herkimer County Penitentiary,2001,46,12,1,0,0,1,32,3,0
Jefferson County Penitentiary,2001,129,46,2,5,2,5,68,0,1
Lewis County Penitentiary,2001,18,7,0,0,0,0,10,0,0
Livingston County Penitentiary,2001,72,31,0,0,4,1,36,7,5
Madison County Penitentiary,2001,74,29,1,17,1,1,26,6,7
Monroe County Correctional Facility,2001,377,366,0,0,11,0,0,0,0
Monroe County Penitentiary,2001,900,159,1,34,107,16,584,0,3
Montgomery County Penitentiary,2001,123,14,3,31,5,2,68,0,13
Nassau County Correctional Facility,2001,1543,288,2,148,45,14,1046,0,11
Niagara County Penitentiary,2001,329,68,0,41,19,2,199,0,0
Oneida County Penitentiary,2001,0,0,0,0,0,0,0,0,0
Onondaga County Correctional Facility,2001,292,279,11,2,0,0,0,27,2
Onondaga County Penitentiary,2001,472,14,2,75,56,6,320,2,0
Ontario County Penitentiary,2001,152,73,0,0,9,3,67,12,0
Orange County Penitentiary,2001,445,142,5,0,48,8,243,0,2
Orleans County Penitentiary,2001,69,24,0,0,5,1,39,1,8
Oswego County Penitentiary,2001,117,33,0,0,5,4,75,0,0
Otsego County Penitentiary,2001,58,15,0,0,3,1,39,0,7
Putnam County Penitentiary,2001,74,25,2,9,1,0,36,0,22
Rensselaer County Penitentiary,2001,245,81,7,4,26,6,121,12,2
Rockland County Penitentiary,2001,201,76,0,0,11,3,111,2,0
Saratoga County Penitentiary,2001,155,63,6,0,11,2,73,0,4
Schenectady County Penitentiary,2001,319,74,1,16,21,13,193,1,6
Schoharie County Penitentiary,2001,57,12,2,24,3,0,16,2,9
Schuyler County Penitentiary,2001,16,9,0,0,1,0,6,0,1
Seneca County Penitentiary,2001,38,17,0,0,3,1,17,8,0
Steuben County Penitentiary,2001,123,36,0,13,7,2,65,0,5
St Lawrence County Penitentiary,2001,88,39,0,0,4,1,44,2,0
Suffolk Correctional Facility - Riverhead,2001,860,339,11,0,100,18,391,0,0
Suffolk Correctional Facility - Yaphank,2001,494,242,5,0,0,0,246,0,0
Sullivan County Penitentiary,2001,156,42,0,0,8,2,104,0,0
Tioga County Penitentiary,2001,77,33,0,14,4,1,24,0,14
Tompkins County Penitentiary,2001,84,37,0,0,6,2,39,0,0
Ulster County Penitentiary,2001,217,91,0,0,14,5,106,5,0
Warren County Penitentiary,2001,61,26,1,0,3,1,30,18,1
Washington County Penitentiary,2001,47,16,0,0,5,1,24,14,0
Wayne County Penitentiary,2001,134,56,0,0,6,2,71,6,3
Westchester Annex,2001,117,41,0,6,2,1,67,0,2
Westchester Penitentiary,2001,788,150,0,68,44,22,504,29,7
Westchester Pen,2001,320,184,0,0,13,1,122,0,0
Wyoming County Penitentiary,2001,54,21,0,1,1,1,31,0,2
Yates County Penitentiary,2001,46,19,0,15,1,1,10,0,6
Albany County Penitentiary,2000,710,230,0,53,48,17,363,1,22
Allegany County Penitentiary,2000,51,20,2,0,3,1,25,7,0
Broome County Penitentiary,2000,385,108,0,15,25,19,218,2,1
Cattaraugus County Penitentiary,2000,106,59,0,0,4,9,33,0,0
Cayuga County Penitentiary,2000,99,45,0,0,4,5,45,1,0
Chautauqua County Penitentiary,2000,216,48,0,7,10,12,139,0,9
Chemung County Penitentiary,2000,195,71,0,0,18,10,94,3,1
Chenango County Penitentiary,2000,50,32,0,0,1,3,14,0,0
Clinton County Penitentiary,2000,109,50,1,6,4,9,39,0,7
Columbia County Penitentiary,2000,121,28,2,6,9,4,72,1,27
Cortland County Penitentiary,2000,55,27,3,0,2,6,19,3,0
Delaware County Penitentiary,2000,23,6,0,0,4,3,10,23,0
Dutchess County Penitentiary,2000,278,63,2,2,24,9,178,8,0
Erie County Correctional Facility,2000,756,521,4,0,96,0,135,0,0
Erie County Penitentiary,2000,567,46,1,40,45,24,412,0,0
Erie County Yankee Compound,2000,,,,,,,,,
Essex County Penitentiary,2000,20,7,0,0,1,1,10,11,0
Essex County Sheriff,2000,0,0,0,0,0,0,0,0,0
Franklin County Penitentiary,2000,75,21,1,20,3,1,29,0,6
Fulton County Penitentiary,2000,98,29,5,1,7,6,49,0,15
Genesee County Penitentiary,2000,69,28,0,4,4,7,27,5,1
Greene County Penitentiary,2000,47,20,0,0,2,4,20,4,1
Hamilton County Penitentiary,2000,3,1,0,0,0,0,1,0,0
Herkimer County Penitentiary,2000,49,9,1,0,3,3,32,6,0
Jefferson County Penitentiary,2000,138,57,0,3,4,8,66,0,0
Lewis County Penitentiary,2000,24,9,0,1,0,0,14,0,3
Livingston County Penitentiary,2000,78,32,0,0,4,3,38,8,4
Madison County Penitentiary,2000,82,35,0,15,2,4,28,5,2
Monroe County Correctional Facility,2000,429,349,0,2,15,1,62,0,2
Monroe County Penitentiary,2000,858,168,1,40,111,26,511,0,1
Montgomery County Penitentiary,2000,137,28,3,27,6,3,69,0,12
Nassau County Correctional Facility,2000,1425,314,2,49,68,58,934,0,7
Niagara County Penitentiary,2000,375,60,0,35,26,8,247,0,0
Oneida County Penitentiary,2000,353,74,0,28,33,28,190,0,5
Onondaga County Correctional Facility,2000,288,277,9,0,1,0,0,24,1
Onondaga County Penitentiary,2000,469,18,1,68,58,8,315,1,0
Ontario County Penitentiary,2000,162,83,0,0,6,9,64,7,0
Orange County Penitentiary,2000,476,178,6,0,55,34,204,0,1
Orleans County Penitentiary,2000,66,30,0,0,2,5,29,0,8
Oswego County Penitentiary,2000,126,44,0,0,7,7,67,0,0
Otsego County Penitentiary,2000,60,15,0,0,2,0,43,0,13
Putnam County Penitentiary,2000,76,35,1,7,1,2,30,0,23
Rensselaer County Penitentiary,2000,247,67,3,2,27,15,131,31,1
Rockland County Penitentiary,2000,199,71,0,0,13,10,105,26,0
Saratoga County Penitentiary,2000,159,82,5,0,11,5,58,0,8
Schenectady County Penitentiary,2000,320,79,1,22,27,18,173,2,9
Schoharie County Penitentiary,2000,56,23,3,8,2,1,19,3,27
Schuyler County Penitentiary,2000,20,11,0,0,2,0,6,0,3
Seneca County Penitentiary,2000,43,22,0,0,3,2,17,17,0
Steuben County Penitentiary,2000,111,31,1,3,8,7,62,0,6
St Lawrence County Penitentiary,2000,98,46,0,0,6,6,40,4,0
Suffolk Correctional Facility - Riverhead,2000,936,350,9,0,112,42,423,0,0
Suffolk Correctional Facility - Yaphank,2000,500,237,5,0,0,0,258,0,0
Sullivan County Penitentiary,2000,158,41,0,0,12,10,95,0,0
Tioga County Penitentiary,2000,79,32,0,15,3,4,24,0,12
Tompkins County Penitentiary,2000,77,29,0,0,7,5,36,0,0
Ulster County Penitentiary,2000,244,104,0,0,12,7,121,9,0
Warren County Penitentiary,2000,62,29,1,0,4,3,26,20,0
Washington County Penitentiary,2000,35,8,1,0,3,3,20,22,0
Wayne County Penitentiary,2000,129,47,0,1,7,5,68,7,10
Westchester Annex,2000,118,43,0,8,4,1,61,0,3
Westchester Penitentiary,2000,778,165,0,93,44,31,445,27,5
Westchester Pen,2000,331,190,0,0,14,1,126,0,0
Wyoming County Penitentiary,2000,59,19,0,0,1,2,37,0,3
Yates County Penitentiary,2000,49,30,0,5,1,5,9,0,4
Albany County Penitentiary,1999,761,266,0,51,68,49,327,4,30
Allegany County Penitentiary,1999,47,18,2,0,2,4,22,2,0
Broome County Penitentiary,1999,398,103,0,3,40,63,188,6,0
Cattaraugus County Penitentiary,1999,123,79,0,0,4,14,27,0,0
Cayuga County Penitentiary,1999,109,52,0,0,6,13,38,8,0
Chautauqua County Penitentiary,1999,214,51,0,2,13,22,127,0,0
Chemung County Penitentiary,1999,200,78,0,0,18,14,89,1,21
Chenango County Penitentiary,1999,56,37,0,0,3,4,12,0,1
Clinton County Penitentiary,1999,112,40,1,14,6,5,46,0,7
Columbia County Penitentiary,1999,130,30,2,2,12,13,71,0,26
Cortland County Penitentiary,1999,60,28,4,0,3,7,19,3,0
Delaware County Penitentiary,1999,26,9,0,0,3,3,11,15,0
Dutchess County Penitentiary,1999,312,69,1,2,31,21,188,26,0
Erie County Correctional Facility,1999,772,532,3,0,118,0,119,0,0
Erie County Penitentiary,1999,621,122,2,11,56,97,334,0,0
Erie County Yankee Compound,1999,,,,,,,,,
Essex County Penitentiary,1999,21,8,0,0,1,1,11,16,0
Essex County Sheriff,1999,0,0,0,0,0,0,0,0,0
Franklin County Penitentiary,1999,73,28,1,4,4,1,36,0,13
Fulton County Penitentiary,1999,112,35,4,0,7,8,56,1,26
Genesee County Penitentiary,1999,76,32,0,1,8,15,21,7,1
Greene County Penitentiary,1999,47,18,0,0,2,7,20,2,2
Hamilton County Penitentiary,1999,3,2,0,0,0,0,1,0,0
Herkimer County Penitentiary,1999,48,7,1,0,2,4,34,4,0
Jefferson County Penitentiary,1999,131,55,0,0,4,5,66,1,0
Lewis County Penitentiary,1999,26,7,0,2,0,1,16,0,4
Livingston County Penitentiary,1999,75,33,0,0,3,6,32,9,2
Madison County Penitentiary,1999,88,42,0,14,4,4,24,6,5
Monroe County Correctional Facility,1999,457,358,0,2,12,2,83,0,1
Monroe County Penitentiary,1999,914,184,1,38,122,81,488,2,0
Montgomery County Penitentiary,1999,153,26,2,32,11,6,76,0,15
Nassau County Correctional Facility,1999,1630,377,3,0,94,193,964,0,3
Niagara County Penitentiary,1999,389,103,0,15,26,41,203,0,0
Oneida County Penitentiary,1999,482,100,0,32,56,64,230,0,34
Onondaga County Correctional Facility,1999,320,314,6,0,0,0,0,36,1
Onondaga County Penitentiary,1999,481,22,2,71,68,11,307,0,0
Ontario County Penitentiary,1999,176,96,0,0,9,30,42,16,0
Orange County Penitentiary,1999,576,257,6,0,72,82,159,0,1
Orleans County Penitentiary,1999,80,39,0,0,1,7,33,0,7
Oswego County Penitentiary,1999,120,43,0,0,3,10,64,0,0
Otsego County Penitentiary,1999,64,19,0,0,4,4,36,0,15
Putnam County Penitentiary,1999,96,46,1,9,2,6,33,0,32
Rensselaer County Penitentiary,1999,246,46,3,2,44,28,124,46,1
Rockland County Penitentiary,1999,212,76,0,0,21,36,79,40,0
Saratoga County Penitentiary,1999,156,85,3,0,9,7,52,1,19
Schenectady County Penitentiary,1999,316,67,3,12,34,41,159,23,5
Schoharie County Penitentiary,1999,71,42,1,0,1,1,26,3,47
Schuyler County Penitentiary,1999,21,14,0,0,0,2,5,1,4
Seneca County Penitentiary,1999,58,36,0,0,2,2,18,0,0
Steuben County Penitentiary,1999,128,37,0,0,7,19,64,0,0
St Lawrence County Penitentiary,1999,95,40,0,0,7,6,43,5,0
Suffolk Correctional Facility - Riverhead,1999,1026,337,9,0,141,110,428,0,0
Suffolk Correctional Facility - Yaphank,1999,592,276,4,0,2,2,308,0,0
Sullivan County Penitentiary,1999,167,44,0,0,13,18,92,0,0
Tioga County Penitentiary,1999,84,29,0,13,5,12,24,0,8
Tompkins County Penitentiary,1999,75,33,0,0,7,4,31,0,0
Ulster County Penitentiary,1999,205,78,0,0,13,16,97,40,0
Warren County Penitentiary,1999,64,32,1,0,3,4,23,13,1
Washington County Penitentiary,1999,48,15,1,0,4,4,25,7,0
Wayne County Penitentiary,1999,157,50,0,0,5,18,84,6,1
Westchester Annex,1999,130,51,0,9,4,4,62,2,2
Westchester Penitentiary,1999,818,162,0,104,54,49,450,30,7
Westchester Pen,1999,412,196,0,0,25,0,191,2,0
Wyoming County Penitentiary,1999,49,14,0,0,1,3,30,0,7
Yates County Penitentiary,1999,54,33,0,0,0,7,12,0,9
Albany County Penitentiary,1998,714,231,0,64,65,45,309,4,30
Allegany County Penitentiary,1998,41,12,1,0,3,3,21,5,0
Broome County Penitentiary,1998,400,120,0,5,34,41,200,3,0
Cattaraugus County Penitentiary,1998,125,63,0,0,5,11,46,0,0
Cayuga County Penitentiary,1998,100,36,0,0,7,11,46,1,0
Chautauqua County Penitentiary,1998,233,54,0,10,16,12,142,0,0
Chemung County Penitentiary,1998,206,83,0,1,15,17,90,1,16
Chenango County Penitentiary,1998,38,22,0,0,3,3,10,0,3
Clinton County Penitentiary,1998,112,43,1,14,6,7,41,0,6
Columbia County Penitentiary,1998,128,30,2,5,9,8,73,0,19
Cortland County Penitentiary,1998,57,29,4,0,3,6,14,1,2
Delaware County Penitentiary,1998,25,11,0,0,2,2,10,13,0
Dutchess County Penitentiary,1998,280,58,2,2,21,11,146,11,1
Erie County Correctional Facility,1998,747,529,2,0,112,0,103,0,0
Erie County Penitentiary,1998,624,89,1,19,37,66,411,2,0
Erie County Yankee Compound,1998,,,,,,,,,
Essex County Penitentiary,1998,20,10,0,0,0,1,10,5,0
Essex County Sheriff,1998,0,0,0,0,0,0,0,0,0
Franklin County Penitentiary,1998,64,21,1,6,6,2,29,0,4
Fulton County Penitentiary,1998,120,44,3,1,8,5,56,2,41
Genesee County Penitentiary,1998,73,30,0,3,7,9,25,5,1
Greene County Penitentiary,1998,44,16,0,0,1,3,24,0,1
Hamilton County Penitentiary,1998,4,2,0,0,0,0,2,1,0
Herkimer County Penitentiary,1998,46,7,1,0,4,3,31,3,0
Jefferson County Penitentiary,1998,153,70,0,0,5,7,72,5,0
Lewis County Penitentiary,1998,33,9,0,7,0,1,17,0,3
Livingston County Penitentiary,1998,70,32,0,0,5,3,29,7,4
Madison County Penitentiary,1998,94,46,0,14,2,4,28,5,5
Monroe County Correctional Facility,1998,411,381,1,1,11,0,17,0,0
Monroe County Penitentiary,1998,972,141,2,39,144,61,585,5,1
Montgomery County Penitentiary,1998,136,33,1,26,7,6,62,0,11
Nassau County Correctional Facility,1998,1841,416,4,1,108,209,1103,0,3
Niagara County Penitentiary,1998,384,74,0,0,26,40,245,0,0
Oneida County Penitentiary,1998,356,79,0,13,40,42,181,32,8
Onondaga County Correctional Facility,1998,366,358,7,0,0,0,0,27,1
Onondaga County Penitentiary,1998,502,15,1,62,75,8,341,1,0
Ontario County Penitentiary,1998,167,82,2,0,9,15,60,16,0
Orange County Penitentiary,1998,593,257,8,0,79,71,178,0,3
Orleans County Penitentiary,1998,75,29,0,0,1,5,41,2,5
Oswego County Penitentiary,1998,116,50,0,0,7,8,57,0,1
Otsego County Penitentiary,1998,63,29,0,0,2,3,29,0,13
Putnam County Penitentiary,1998,103,54,1,9,3,4,32,0,37
Rensselaer County Penitentiary,1998,250,52,4,7,36,13,135,13,3
Rockland County Penitentiary,1998,224,65,0,0,12,14,133,28,1
Saratoga County Penitentiary,1998,175,89,6,0,11,6,64,0,18
Schenectady County Penitentiary,1998,333,67,1,14,38,39,174,35,4
Schoharie County Penitentiary,1998,72,42,1,0,1,1,28,4,47
Schuyler County Penitentiary,1998,20,13,0,0,0,1,6,0,8
Seneca County Penitentiary,1998,45,25,0,0,1,2,16,0,2
Steuben County Penitentiary,1998,130,36,1,2,8,12,71,0,8
St Lawrence County Penitentiary,1998,95,40,0,0,8,5,42,2,1
Suffolk Correctional Facility - Riverhead,1998,1012,342,7,0,146,117,400,0,0
Suffolk Correctional Facility - Yaphank,1998,601,292,5,0,1,1,302,0,0
Sullivan County Penitentiary,1998,150,47,0,0,6,10,87,0,0
Tioga County Penitentiary,1998,86,34,0,23,3,4,20,0,5
Tompkins County Penitentiary,1998,74,28,0,0,6,4,36,12,0
Ulster County Penitentiary,1998,182,58,0,0,13,14,98,47,0
Warren County Penitentiary,1998,62,25,1,0,3,5,28,8,0
Washington County Penitentiary,1998,50,15,0,0,6,3,26,4,0
Wayne County Penitentiary,1998,146,45,0,3,6,13,79,6,4
Westchester Annex,1998,133,49,0,7,6,2,68,2,2
Westchester Penitentiary,1998,831,118,0,193,30,29,461,32,13
Westchester Pen,1998,472,218,0,0,34,1,219,5,0
Wyoming County Penitentiary,1998,52,14,0,2,1,2,32,0,11
Yates County Penitentiary,1998,55,24,0,9,3,3,16,0,5
Albany County Penitentiary,1997,730,268,0,62,56,23,324,4,15
Allegany County Penitentiary,1997,32,12,1,0,3,2,18,3,0
Broome County Penitentiary,1997,375,91,0,10,35,29,211,0,0
Cattaraugus County Penitentiary,1997,116,51,0,0,5,6,53,0,9
Cayuga County Penitentiary,1997,85,33,0,0,4,6,44,2,2
Chautauqua County Penitentiary,1997,220,45,0,22,16,13,125,0,0
Chemung County Penitentiary,1997,183,75,0,7,15,11,77,1,20
Chenango County Penitentiary,1997,42,27,0,0,2,1,13,1,5
Clinton County Penitentiary,1997,113,39,0,24,4,3,43,0,7
Columbia County Penitentiary,1997,120,33,1,6,8,6,66,0,15
Cortland County Penitentiary,1997,52,28,3,0,2,3,18,2,2
Delaware County Penitentiary,1997,10,8,0,0,1,1,14,15,0
Dutchess County Penitentiary,1997,266,68,1,1,24,8,172,10,0
Erie County Correctional Facility,1997,674,527,2,0,92,0,53,0,0
Erie County Penitentiary,1997,613,45,0,28,36,20,509,26,0
Erie County Yankee Compound,1997,,,,,,,,,
Essex County Penitentiary,1997,13,7,0,0,1,1,12,8,0
Essex County Sheriff,1997,,,,,,,,,
Franklin County Penitentiary,1997,68,28,2,8,4,1,25,0,1
Fulton County Penitentiary,1997,117,44,3,2,7,6,55,0,30
Genesee County Penitentiary,1997,69,34,0,3,4,5,29,6,0
Greene County Penitentiary,1997,42,15,0,0,2,4,23,2,1
Hamilton County Penitentiary,1997,3,2,0,0,0,0,1,0,0
Herkimer County Penitentiary,1997,43,7,1,0,2,3,33,4,0
Jefferson County Penitentiary,1997,141,72,0,1,5,6,57,0,0
Lewis County Penitentiary,1997,28,9,0,1,0,0,18,0,7
Livingston County Penitentiary,1997,65,35,0,0,1,2,33,7,4
Madison County Penitentiary,1997,88,35,0,20,2,3,32,4,8
Monroe County Correctional Facility,1997,353,344,1,0,7,0,1,0,0
Monroe County Penitentiary,1997,906,151,2,35,119,33,570,3,3
Montgomery County Penitentiary,1997,116,30,2,13,8,6,57,0,9
Nassau County Correctional Facility,1997,1773,389,2,2,100,106,1174,0,2
Niagara County Penitentiary,1997,380,101,0,0,28,40,211,0,0
Oneida County Penitentiary,1997,276,83,0,2,28,31,166,34,0
Onondaga County Correctional Facility,1997,323,350,4,0,0,0,0,32,2
Onondaga County Penitentiary,1997,473,21,1,63,64,11,314,1,0
Ontario County Penitentiary,1997,141,69,2,0,6,11,73,20,0
Orange County Penitentiary,1997,532,211,9,0,63,49,202,3,2
Orleans County Penitentiary,1997,75,29,0,0,1,7,38,1,7
Oswego County Penitentiary,1997,108,43,0,0,7,6,54,0,0
Otsego County Penitentiary,1997,58,32,0,0,2,2,23,0,17
Putnam County Penitentiary,1997,75,34,1,8,1,1,30,0,22
Rensselaer County Penitentiary,1997,228,47,2,5,34,9,157,25,2
Rockland County Penitentiary,1997,183,77,0,0,11,13,102,18,0
Saratoga County Penitentiary,1997,172,97,5,0,8,3,60,0,37
Schenectady County Penitentiary,1997,305,69,1,18,38,36,151,8,2
Schoharie County Penitentiary,1997,53,24,1,0,2,1,26,2,28
Schuyler County Penitentiary,1997,23,16,0,0,0,1,6,0,11
Seneca County Penitentiary,1997,45,24,0,0,3,1,17,0,1
Steuben County Penitentiary,1997,119,41,1,0,6,8,63,0,2
St Lawrence County Penitentiary,1997,84,44,0,0,2,2,35,0,0
Suffolk Correctional Facility - Riverhead,1997,899,293,6,0,151,96,353,0,0
Suffolk Correctional Facility - Yaphank,1997,561,292,3,0,0,0,267,0,0
Sullivan County Penitentiary,1997,152,46,0,0,5,9,92,0,0
Tioga County Penitentiary,1997,69,31,1,13,2,5,18,0,8
Tompkins County Penitentiary,1997,44,24,0,0,3,3,37,23,0
Ulster County Penitentiary,1997,156,76,0,0,14,7,92,33,0
Warren County Penitentiary,1997,52,29,1,0,4,4,31,16,1
Washington County Penitentiary,1997,47,15,0,0,6,2,27,3,0
Wayne County Penitentiary,1997,137,48,0,6,2,13,74,6,7
Westchester Annex,1997,131,56,0,6,4,2,66,2,1
Westchester Penitentiary,1997,808,92,0,171,33,21,520,29,10
Westchester Pen,1997,439,263,0,0,24,2,155,4,1
Wyoming County Penitentiary,1997,57,15,0,4,1,1,36,0,16
Yates County Penitentiary,1997,54,21,0,18,1,1,12,0,5